Name,Price,Reviews,Popularity,Developer,Genres,Critics score,OS,Processor,Memory,Graphics,DirectX,Network,Storage
RUMBLE,435,Mostly Positive,46,Buckethead Entertainment,"Action, Sports, Early Access",,['Windows10']," Intel i3-6100,AMD Ryzen 3 1200, FX4350", 8 GB RAM," NVIDIA GTX 1050 Ti,AMD Radeon RX 470",, Broadband Internet connection, 5 GB available space
Tesla vs Lovecraft: For Science!,133,Positive,35,10tons Ltd,"Action, Indie, RPG",,"['WindowsXP', 'WindowsVista', 'Windows7', 'Windows8', 'Windows10']", 2 GHz, 2048 MB RAM, SM 3.0+, Version 9.0,, 150 MB available space
GameGuru Classic,699,Mostly Positive,1181,TheGameCreators,"Animation & Modeling, Design & Illustration, Education, Software Training, Utilities, Game Development",,[], Intel Dual-Core 2GHz, 2 GB RAM, NVIDIA GeForce 400 series, Version 11, Broadband Internet connection, 12 GB available space
Ancient Dungeon,435,Very Positive,28,Eric Thullen,"Action, Adventure, Indie, RPG, Early Access",,['Windows7']," Intel Core i5-4590 , AMD FX 8350", 8 GB RAM, AMD Radeon R9 390,,, 1 GB available space
RWBY: Grimm Eclipse - JNPR,129,Very Positive,176,Rooster Teeth Games,"Action, Adventure, Indie",,"['Windows7', 'Windows8', 'Windows8', 'Windows10']", Intel Core i5-2500K (4 * 3300), 4 GB RAM, GeForce GTX 460 (1024 MB), Version 11, Broadband Internet connection, 4 GB available space
Know by heart,435,Very Positive,15,Ice-Pick Lodge,"Adventure, Casual, Indie",,['Windows7'], Intel(R) Core(TM) i5-6300U CPU @ 2.5 GHz, 4 GB RAM, Nvidia Geforce gtx 560,,, 3 GB available space
Infestation: Survivor Stories 2020,0,Mixed,22,Fredaikis AB,"Action, Free to Play, Indie, Massively Multiplayer, RPG",,['Windows7'],2.4 GHZ Quad Core,4 GB RAM,"Nvidia GTX 460,ATI Radeon HD 5850",,,
NTBSS Master Character Training Pack - Madara Uchiha (Six Paths),119,Positive,43,Soleil Ltd.,Action,,"['Windows7', 'Windows8', 'Windows10']", Intel Core i3-8350K, 4 GB RAM, Nvidia GeForce GT 640, Version 11, Broadband Internet connection,
Wytchwood,435,Very Positive,65,Alientrap,"Adventure, Casual, Indie, RPG",78,['Windows7'], Dual-core processor (Intel Dual Core 2.0 GHz, 2 GB RAM," Geforce 9600 GS, Radeon HD4000, Shader Model 3.0, 512 MB", Version 9.0c,, 1 GB available space
Premium Bowling,435,Very Positive,336,Sadetta,"Indie, Simulation, Sports",,['Windows7'], Intel i5 2013, 4 GB RAM, Nvidia GeForce 840M, Version 11, Broadband Internet connection, 4 GB available space
